timestamp,sample_num,lc1,lc2,lc3,lc4
1757512330.451845,10082,-210176,-3379201,-103168,22271
1757512330.452749,10083,-202496,-3027713,-108800,29695
1757512330.453768,10084,-205568,-3045889,-107008,20479
1757512330.454810,10085,-209920,-3557633,-104448,38655
1757512330.455723,10086,-210688,-2811649,-109568,27135
1757512330.456453,10087,-208384,-2630145,-102912,15871
1757512330.457349,10088,-210432,-3029249,-108800,21503
1757512330.458331,10089,-212480,-2736641,-102144,24831
1757512330.459354,10090,-215296,-2493953,-107264,21247
1757512330.460176,10091,-206592,-3936513,-115456,24831
1757512330.461173,10092,-208640,-6312193,-127232,26367
1757512330.461920,10093,-203776,-3060225,-105728,20479
1757512330.462868,10094,-206592,-4038401,-98304,36351
1757512330.463808,10095,-202752,-2962689,-97792,28671
1757512330.464701,10096,-205824,-3126273,-107520,22527
1757512330.465584,10097,-212736,-2863617,-107008,20223
1757512330.466518,10098,-211712,-4129025,-107008,22015
1757512330.467425,10099,-207872,-2457857,-102144,20991
1757512330.468322,10100,-210176,-2925569,-104704,19711
1757512330.469295,10101,-199936,-2614785,-97280,25599
1757512330.470190,10102,-207872,-3246849,-100352,26111
1757512330.471112,10103,-210176,-1760257,-100864,32511
1757512330.472064,10104,-204800,-3877633,-99072,27391
1757512330.473062,10105,-203776,-6701057,-102144,20479
1757512330.474002,10106,-209408,-3138305,-115712,29183
1757512330.474970,10107,-209408,-2807809,-110080,27647
1757512330.475823,10108,-211456,-2956545,-115456,22527
1757512330.476712,10109,-212736,-2239745,-101376,23039
1757512330.477713,10110,-207104,-3567617,-102144,25855
1757512330.478499,10111,-210432,-2717441,-103168,30207
1757512330.479391,10112,-210176,-2449921,-101888,30207
1757512330.480378,10113,-212480,-2177025,-104704,22783
1757512330.481182,10114,-217344,-2511873,-106752,27903
1757512330.482238,10115,-209664,-1975553,-111104,25599
1757512330.483135,10116,-215040,-3074305,-112896,24831
1757512330.483983,10117,-204544,-3584769,-109312,36607
1757512330.484861,10118,-210688,-2242305,-110848,29183
1757512330.485791,10119,-205312,-3699457,-100352,26367
